time,symbol,side,status,price,quantity,profit,unrealized,note,Trade #,Type,Date/Time,Signal,Price,Position size,Net P&L,Run-up,Drawdown,Cumulative P&L
,,,,,,,,,1.0,BUY,2025-09-06 13:25:34,close by test_exit,203.09,405.78,0.4000000000000341,0.0,0.0,0.4000000000000341
,,,,,,,,,2.0,BUY,2025-09-06 13:31:36,close by test_exit,203.3,406.34,0.2600000000000477,0.0,0.0,0.6600000000000819
,,,,,,,,,3.0,BUY,2025-09-06 13:36:07,close by test_exit,203.43,406.66,0.1999999999999886,0.0,0.0,0.8600000000000705
,,,,,,,,,4.0,BUY,2025-09-06 13:38:09,close by test_exit,203.42,406.84,0.0,0.0,0.0,0.8600000000000705
,,,,,,,,,5.0,BUY,2025-09-06 13:39:09,open by test_signal,203.41,406.82,0.0,0.0,0.0,0.0
